college_name,state,percent_female,percent_stem,division_1_football_classifications,school_sector,undergraduate_enrollment,mid_career_median_pay
Sam Houston State University,Texas,49,7,Not Division 1 Football,Public,19163,84500
Saint Martin's University,Washington,35,23,Not Division 1 Football,Private not-for-profit,1631,84500
University of Wisconsin-Stout,Wisconsin,34,14,Not Division 1 Football,Public,9288,84500
California State University-San Bernardino,California,48,10,Not Division 1 Football,Public,18483,84400
University of Bridgeport,Connecticut,52,28,Not Division 1 Football,Private not-for-profit,3351,84400
Monmouth College,Illinois,40,19,Not Division 1 Football,Private not-for-profit,1231,84400
University of New Orleans,Louisiana,38,25,Not Division 1 Football,Public,8131,84400
Dunwoody College of Technology,Minnesota,5,20,Not Division 1 Football,Private not-for-profit,1402,84400
University of Nebraska Medical Center,Nebraska,74,9,Not Division 1 Football,Public,1015,84400
Saint Francis University,Pennsylvania,49,10,Not Division 1 Football,Private not-for-profit,2725,84400
Roger Williams University,Rhode Island,39,13,Not Division 1 Football,Private not-for-profit,4923,84400
Oklahoma Christian University,Oklahoma,38,35,Not Division 1 Football,Private not-for-profit,2114,84300
Portland State University,Oregon,41,15,Not Division 1 Football,Public,28348,84300
Beloit College,Wisconsin,42,21,Not Division 1 Football,Private not-for-profit,1467,84200
The Master's University and Seminary,California,36,9,Not Division 1 Football,Private not-for-profit,1427,84100
Berry College,Georgia,50,23,Not Division 1 Football,Private not-for-profit,2189,84100
Elmhurst College,Illinois,48,12,Not Division 1 Football,Private not-for-profit,3108,84100
University of Saint Mary,Kansas,50,8,Not Division 1 Football,Private not-for-profit,998,84100
Louisiana State University Health Sciences Center-New Orleans,Louisiana,72,4,Not Division 1 Football,Public,1043,84100
Augsburg College,Minnesota,42,9,Not Division 1 Football,Private not-for-profit,2858,84100
Gannon University,Pennsylvania,44,26,Not Division 1 Football,Private not-for-profit,3328,84100
University of Northern Colorado,Colorado,51,8,Not Division 1 Football,Public,10835,84e3
Earlham College,Indiana,45,23,Not Division 1 Football,Private not-for-profit,1004,84e3
Newman University,Kansas,51,10,Not Division 1 Football,Private not-for-profit,3846,84e3
University of Missouri-Kansas City,Missouri,45,25,Not Division 1 Football,Public,13702,84e3
Pacific Union College,California,48,11,Not Division 1 Football,Private not-for-profit,1902,83900
Eastern Illinois University,Illinois,47,7,Not Division 1 Football,Public,8019,83900
University of New England,Maine,58,10,Not Division 1 Football,Private not-for-profit,7413,83900
Hastings College,Nebraska,36,23,Not Division 1 Football,Private not-for-profit,1200,83900
